month,trends_avila_adobe,trends_cultural_experiences_los_angeles,trends_cultural_heritage_los_angeles,trends_el_pueblo_los_angeles,trends_family_activities_los_angeles,trends_family_things_to_do_in_downtown_la,trends_free_museums_los_angeles,trends_getty_museum,trends_griffith_observatory,trends_heritage_tourism_los_angeles,trends_historic_attractions_los_angeles,trends_historic_district_los_angeles,trends_historic_house_los_angeles,trends_historic_house_museum,trends_historic_sites_california,trends_historical_sites_los_angeles,trends_indoor_things_to_do_in_los_angeles,trends_interactive_museums_los_angeles,trends_kid_friendly_museums_los_angeles,trends_la_brea_tar_pits,trends_life_in_the_1840s,trends_living_history_museum,trends_los_angeles_attractions,trends_los_angeles_history,trends_los_angeles_museums,trends_mexican_heritage_los_angeles,trends_oldest_building_in_los_angeles,trends_oldest_home_in_los_angeles,trends_oldest_house_in_los_angeles,trends_oldest_house_los_angeles,trends_olvera_street,trends_rainy_day_activities_los_angeles,trends_things_to_do_in_downtown_la,trends_things_to_do_in_la,trends_things_to_do_in_la_for_2_hours,trends_things_to_do_in_la_for_a_couple_hours,trends_things_to_do_in_la_in_december,trends_things_to_do_in_la_in_february,trends_things_to_do_in_la_in_january,trends_things_to_do_in_la_when_it_rains,trends_things_to_do_in_los_angeles,trends_things_to_do_in_los_angeles_in_winter,trends_things_to_do_near_union_station_los_angeles
2017-09,0.0,0.0,0.0,65.0,0.0,0.0,39.0,45.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,47.0,73.0,56.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,54.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
2017-10,0.0,0.0,0.0,57.0,70.0,0.0,20.0,45.0,49.0,0.0,0.0,0.0,57.0,0.0,100.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,50.0,61.0,38.0,0.0,0.0,100.0,0.0,0.0,97.0,0.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
2017-11,0.0,0.0,0.0,49.0,50.0,0.0,19.0,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,40.0,64.0,48.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,54.0,57.0,0.0,0.0,29.0,0.0,22.0,0.0,57.0,33.0,0.0
2017-12,0.0,0.0,0.0,37.0,92.0,0.0,20.0,100.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,51.0,0.0,0.0,57.0,69.0,61.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,84.0,72.0,0.0,0.0,74.0,0.0,37.0,0.0,77.0,51.0,0.0
2018-01,0.0,0.0,0.0,49.0,58.0,0.0,63.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,63.0,0.0,53.0,52.0,84.0,77.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,76.0,65.0,0.0,0.0,0.0,60.0,78.0,0.0,67.0,0.0,0.0
2018-02,0.0,0.0,0.0,65.0,60.0,0.0,30.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,41.0,75.0,62.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,57.0,58.0,0.0,0.0,0.0,68.0,0.0,0.0,59.0,0.0,0.0
2018-03,0.0,0.0,0.0,45.0,61.0,0.0,32.0,59.0,60.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,80.0,0.0,0.0,55.0,0.0,0.0,58.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,83.0,68.0,0.0,0.0,0.0,0.0,0.0,92.0,73.0,0.0,0.0
2018-04,94.0,0.0,0.0,30.0,86.0,0.0,23.0,59.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,45.0,80.0,58.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
2018-05,85.0,0.0,0.0,85.0,0.0,0.0,22.0,55.0,58.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,67.0,55.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,63.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
2018-06,0.0,0.0,0.0,48.0,0.0,0.0,25.0,59.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,67.0,64.0,61.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,73.0,78.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
2018-07,70.0,0.0,0.0,58.0,76.0,0.0,35.0,69.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,71.0,0.0,0.0,65.0,73.0,67.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,85.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0
2018-08,0.0,0.0,0.0,67.0,64.0,0.0,31.0,59.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,62.0,0.0,0.0,55.0,65.0,57.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,88.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
2018-09,100.0,0.0,0.0,62.0,65.0,0.0,28.0,50.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,54.0,39.0,64.0,55.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,71.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
2018-10,0.0,0.0,0.0,62.0,59.0,0.0,15.0,43.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,41.0,41.0,56.0,42.0,0.0,84.0,0.0,0.0,0.0,96.0,0.0,57.0,53.0,0.0,0.0,10.0,0.0,0.0,0.0,48.0,0.0,0.0
2018-11,0.0,0.0,0.0,43.0,60.0,0.0,22.0,46.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,38.0,57.0,47.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,53.0,62.0,0.0,0.0,24.0,0.0,0.0,0.0,52.0,28.0,0.0
2018-12,66.0,0.0,0.0,50.0,70.0,0.0,32.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,50.0,59.0,64.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,80.0,68.0,0.0,0.0,61.0,0.0,35.0,0.0,69.0,82.0,0.0
2019-01,0.0,0.0,0.0,58.0,56.0,0.0,56.0,56.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,50.0,0.0,0.0,41.0,69.0,81.0,0.0,0.0,0.0,0.0,0.0,49.0,66.0,68.0,70.0,0.0,0.0,0.0,77.0,99.0,89.0,60.0,0.0,0.0
2019-02,0.0,0.0,0.0,42.0,76.0,0.0,80.0,47.0,49.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,35.0,71.0,85.0,0.0,0.0,0.0,0.0,0.0,49.0,100.0,60.0,61.0,0.0,0.0,0.0,100.0,0.0,84.0,54.0,0.0,0.0
2019-03,0.0,0.0,0.0,65.0,49.0,0.0,29.0,52.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,54.0,0.0,66.0,44.0,64.0,63.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,74.0,69.0,0.0,0.0,0.0,0.0,0.0,75.0,62.0,0.0,0.0
